Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
horse-colic,2,1,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,31.0,6.0,0.0,83.78378378378379,16.216216216216218,0.0,0.6453674121405751,0.2887589253043977,0.36783654901674984,61.67097796282689,75.83221657094167,35.41414960056652,22.94633309266093,12.467816507905589,0.9571391783936897,0.6201711646665116,0.33696801372717805,14.72046950810747,0.39785052724614783,1549.2187307030633,0.9130434782608695,21.0,0.2857142857142857,4.0,0.7142857142857143,10.0,0.08695652173913043,2.0,0.84,0.9130434782608695,0.8749999999999999,0.6499243466086647,0.8664596273291926,0.9064506218606534,0.8378378378378378,0.210508645291254,0.789491354708746,0.16216216216216217,0.8374774774774775,0.8378378378378378,0.8349792099792099,0.6499243466086647,0.8664596273291926,0.8890264415643985,0.8221153846153846,0.8378378378378378,0.161,0.008,0.15625,0.0,156.25,0.0,2157979.0,75009.0,12387.0,100.0,100.0,?,-1.0
horse-colic,2,2,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,32.0,5.0,0.0,86.48648648648648,13.513513513513514,0.0,0.7086614173228347,0.24673957318849002,0.32300477933650584,52.69679808034989,66.5898167149773,35.41414960056652,18.496653584393194,16.917496016173324,0.9571391783936897,0.49990955633495116,0.45722962205873846,18.167196533833682,0.49100531172523465,1911.9608337952634,0.9130434782608695,21.0,0.21428571428571427,3.0,0.7857142857142857,11.0,0.08695652173913043,2.0,0.875,0.9130434782608695,0.8936170212765957,0.7098674869442498,0.937888198757764,0.9693373400756922,0.8648648648648649,0.16610710088970956,0.8338928991102903,0.13513513513513514,0.8640852390852392,0.8648648648648649,0.8637999701829489,0.7098674869442498,0.9378881987577641,0.9341367432732355,0.8542159180457052,0.8648648648648649,0.173,0.004,0.15625,0.0,156.25,0.0,2377878.0,75009.0,12387.0,100.0,100.0,?,-1.0
horse-colic,2,3,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,34.0,3.0,0.0,91.89189189189189,8.108108108108109,0.0,0.8251968503937009,0.26095960085312286,0.3169854274473304,55.733805548818275,65.34888294345076,35.41414960056652,18.33756074832235,17.076588852244168,0.9571391783936897,0.4956097499546581,0.46152942843903155,17.35373383995992,0.4690198335124302,1826.3500017913439,0.9565217391304348,22.0,0.14285714285714285,2.0,0.8571428571428571,12.0,0.043478260869565216,1.0,0.9166666666666666,0.9565217391304348,0.9361702127659574,0.8266012514639709,0.953416149068323,0.9732189055699497,0.918918918918919,0.105254322645627,0.894745677354373,0.08108108108108109,0.9190921690921691,0.918918918918919,0.9182799821097692,0.8266012514639709,0.9534161490683228,0.9582457175450153,0.9125295508274232,0.918918918918919,0.18,0.0,0.1875,0.0,187.5,0.0,2547659.0,75009.0,12387.0,100.0,100.0,?,-1.0
horse-colic,2,4,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,32.0,5.0,0.0,86.48648648648648,13.513513513513514,0.0,0.7001620745542951,0.2669675792079949,0.3384610196081613,57.01694476376677,69.77623460299232,35.41414960056652,20.28221846007755,15.131931140488966,0.9571391783936897,0.5481680664885825,0.4089711119051072,16.767149040702076,0.4531661902892453,1764.6163622728868,0.9565217391304348,22.0,0.2857142857142857,4.0,0.7142857142857143,10.0,0.043478260869565216,1.0,0.8461538461538461,0.9565217391304348,0.8979591836734695,0.7117751126385615,0.8850931677018633,0.920549435383868,0.8648648648648649,0.1940574114487158,0.8059425885512842,0.13513513513513514,0.8699678699678699,0.8648648648648649,0.8608935466078325,0.7117751126385615,0.8850931677018632,0.9054120659848214,0.8489795918367348,0.8648648648648649,0.169,0.015,0.15625,0.015625,156.25,15.625,2394419.0,75009.0,12387.0,100.0,100.0,?,-1.0
horse-colic,2,5,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,33.0,4.0,0.0,89.1891891891892,10.81081081081081,0.0,0.7764350453172205,0.24865932114881162,0.3133483381461838,53.10680353396616,64.59907016842975,35.41414960056652,18.121722263999917,17.2924273365666,0.9571391783936897,0.4897762774054032,0.4673629009882865,18.277635344075122,0.49399014443446276,1923.5836881701437,0.8695652173913043,20.0,0.07142857142857142,1.0,0.9285714285714286,13.0,0.13043478260869565,3.0,0.9523809523809523,0.8695652173913043,0.909090909090909,0.7813318871607086,0.9285714285714286,0.9387997290524839,0.8918918918918919,0.09375524592915896,0.906244754070841,0.10810810810810811,0.8994530244530244,0.8918918918918919,0.8930384930384929,0.7813318871607086,0.9285714285714287,0.9359544917633097,0.8878787878787877,0.8918918918918919,0.183,0.006,0.171875,0.0,171.875,0.0,2455325.0,75009.0,12387.0,100.0,94.5945945945946,?,-1.0
horse-colic,2,6,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,33.0,4.0,0.0,89.1891891891892,10.81081081081081,0.0,0.7635782747603834,0.2639301154169383,0.3300227850351102,56.36822589793891,68.03663033220822,35.41414960056652,19.496989383549316,15.917160217017202,0.9571391783936897,0.5269456590148464,0.43019351937884326,16.909244906696546,0.45700661909990664,1779.5708837324682,0.9565217391304348,22.0,0.21428571428571427,3.0,0.7857142857142857,11.0,0.043478260869565216,1.0,0.88,0.9565217391304348,0.9166666666666666,0.7689698952449053,0.922360248447205,0.9495376277558032,0.8918918918918919,0.14965586704717138,0.8503441329528285,0.10810810810810811,0.8938738738738738,0.8918918918918919,0.8899861399861401,0.7689698952449053,0.922360248447205,0.9361123481684795,0.8814102564102564,0.8918918918918919,0.182,0.006,0.1875,0.0,187.5,0.0,2549553.0,75009.0,12387.0,100.0,100.0,?,-1.0
horse-colic,2,7,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,32.0,5.0,0.0,86.48648648648648,13.513513513513514,0.0,0.7184170471841705,0.2563998817255666,0.31995212574523013,55.49100549342543,66.95589302628473,34.65582837666614,18.293230325017504,16.36259805164864,0.9366440101801661,0.4944116304058785,0.44223237977428753,16.838910234342848,0.45510568200926615,1767.9086515514687,0.8333333333333334,20.0,0.07692307692307693,1.0,0.9230769230769231,12.0,0.16666666666666666,4.0,0.9523809523809523,0.8333333333333334,0.888888888888889,0.7288951613834163,0.9583333333333334,0.9756446374403033,0.8648648648648649,0.10845460845460846,0.8915453915453916,0.13513513513513514,0.8812741312741312,0.8648648648648649,0.8673501087294192,0.7288951613834161,0.9583333333333334,0.9654877582741361,0.8582375478927203,0.8648648648648649,0.182,0.004,0.171875,0.0,171.875,0.0,2381974.0,75009.0,12387.0,100.0,93.24324324324324,?,-1.0
horse-colic,2,8,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,30.0,7.0,0.0,81.08108108108108,18.91891891891892,0.0,0.5265082266910421,0.25222985057394764,0.3504034124791748,54.58851201337806,73.32838732467935,34.65582837666614,22.29647053158639,12.359357845079753,0.9366440101801661,0.602607311664497,0.334036698515669,16.70253563880557,0.4514198821298803,1753.590751880594,1.0,24.0,0.5384615384615384,7.0,0.46153846153846156,6.0,0.0,0.0,0.7741935483870968,1.0,0.8727272727272727,0.5977625776640615,0.8878205128205128,0.8670998683501566,0.8108108108108109,0.3492723492723493,0.6507276507276507,0.1891891891891892,0.8535309503051438,0.8108108108108109,0.7879994827363248,0.5977625776640615,0.8878205128205128,0.8717601151386805,0.7521531100478469,0.8108108108108109,0.164,0.005,0.171875,0.0,171.875,0.0,2246533.0,75009.0,12387.0,97.29729729729729,94.5945945945946,?,-1.0
horse-colic,2,9,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,332.0,36.0,29.0,7.0,0.0,80.55555555555556,19.444444444444443,0.0,0.5714285714285715,0.30155761685718363,0.38043976446575517,64.95752033484017,79.18737295253874,33.98115558771566,23.004404154120177,10.976751433595485,0.9439209885476573,0.6390112265033383,0.304909762044319,12.762962269675032,0.3545267297131953,1341.1646994143066,0.8695652173913043,20.0,0.3076923076923077,4.0,0.6923076923076923,9.0,0.13043478260869565,3.0,0.8333333333333334,0.8695652173913043,0.851063829787234,0.5725025740766715,0.8528428093645485,0.9210971485483973,0.8055555555555556,0.24368264585655894,0.7563173541434411,0.19444444444444445,0.8032407407407408,0.8055555555555556,0.8037352245862883,0.5725025740766715,0.8528428093645485,0.8670560726353062,0.785531914893617,0.8055555555555556,0.164,0.007,0.15625,0.0,156.25,0.0,2272104.0,75222.0,12174.0,100.0,100.0,?,-1.0
horse-colic,2,10,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,332.0,36.0,32.0,4.0,0.0,88.88888888888889,11.11111111111111,0.0,0.7591973244147157,0.24719146856857183,0.3008146700020813,53.2466896823452,62.61365316662073,33.98115558771566,16.699333453939,17.28182213377666,0.9439209885476573,0.4638703737205278,0.48005061482712946,17.709392568812294,0.49192757135589704,1860.9482390929172,0.9130434782608695,21.0,0.15384615384615385,2.0,0.8461538461538461,11.0,0.08695652173913043,2.0,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.7591973244147158,0.9565217391304348,0.9764569298854787,0.8888888888888888,0.12969156447417318,0.8703084355258268,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7591973244147158,0.9565217391304349,0.9605638530320925,0.8795986622073578,0.8888888888888888,0.183,0.006,0.1875,0.0,187.5,0.0,2534684.0,75222.0,12174.0,100.0,98.61111111111111,?,-1.0
horse-colic,3,1,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,30.0,7.0,0.0,81.08108108108108,18.91891891891892,0.0,0.5921259842519686,0.305297480870714,0.3805551421004725,65.2031593310464,78.45424830699577,35.41414960056652,24.149947897468188,11.26420170309833,0.9571391783936897,0.6527012945261672,0.3044378838675224,13.604573494533861,0.36769117552794217,1431.7790658341557,0.8695652173913043,20.0,0.2857142857142857,4.0,0.7142857142857143,10.0,0.13043478260869565,3.0,0.8333333333333334,0.8695652173913043,0.851063829787234,0.5931337224245288,0.8478260869565217,0.8998380551682912,0.8108108108108109,0.22695987913379215,0.7730401208662078,0.1891891891891892,0.8090783090783091,0.8108108108108109,0.8093199582561286,0.5931337224245287,0.8478260869565217,0.8671491238408922,0.7959022852639874,0.8108108108108109,0.187,0.0,0.1875,0.0,187.5,0.0,2562095.0,75009.0,12387.0,100.0,98.64864864864865,?,-1.0
horse-colic,3,2,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,34.0,3.0,0.0,91.89189189189189,8.108108108108109,0.0,0.8251968503937009,0.26494651911333256,0.34325083234699316,56.58530181999255,70.76368981350979,35.41414960056652,21.106215873600746,14.307933726965771,0.9571391783936897,0.5704382668540742,0.38670091153961544,17.10346364164676,0.46225577409856106,1800.010945231363,0.9565217391304348,22.0,0.14285714285714285,2.0,0.8571428571428571,12.0,0.043478260869565216,1.0,0.9166666666666666,0.9565217391304348,0.9361702127659574,0.8266012514639709,0.8881987577639752,0.9210786100529293,0.918918918918919,0.105254322645627,0.894745677354373,0.08108108108108109,0.9190921690921691,0.918918918918919,0.9182799821097692,0.8266012514639709,0.8881987577639753,0.8991753808350927,0.9125295508274232,0.918918918918919,0.164,0.004,0.140625,0.015625,140.625,15.625,2314882.0,75009.0,12387.0,100.0,94.5945945945946,?,-1.0
horse-colic,3,3,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1',-115879962237199703,2.01805271146E7,331.0,37.0,28.0,9.0,0.0,75.67567567567568,24.324324324324323,0.0,0.4755905511811025,0.30063937419683473,0.37069300275229256,64.20831564359855,76.42109556863117,35.41414960056652,22.854595729526796,12.559553871039721,0.9571391783936897,0.6176917764736972,0.33944740191999245,13.598253917043735,0.36752037613631716,1431.1139778210022,0.8260869565217391,19.0,0.35714285714285715,5.0,0.6428571428571429,9.0,0.17391304347826086,4.0,0.7916666666666666,0.8260869565217391,0.8085106382978724,0.47639995790480766,0.8664596273291926,0.9141314256741805,0.7567567567567568,0.2878126573778748,0.7121873426221252,0.24324324324324326,0.754071379071379,0.7567567567567568,0.7548399463293081,0.4763999579048077,0.8664596273291926,0.8883166917757014,0.7375886524822695,0.7567567567567568,0.163,0.01,0.171875,0.015625,171.875,15.625,2289075.0,75009.0,12387.0,100.0,97.29729729729729,?,-1.0
