Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
horse-colic,1,1,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.J48 -- -U -M 2',-115879962237199703,2.01805281257E7,331.0,37.0,34.0,3.0,0.0,91.89189189189189,8.108108108108109,0.0,0.8189233278955955,0.16322628792127944,0.24366767914340723,35.32603361106767,50.99196331541257,34.65582837666615,11.530230935858407,23.125597440807745,0.9366440101801662,0.3116278631313083,0.625016147048858,23.673707634459912,0.6398299360664841,2485.490566717489,0.9583333333333334,23.0,0.15384615384615385,2.0,0.8461538461538461,11.0,0.041666666666666664,1.0,0.92,0.9583333333333334,0.9387755102040817,0.8204191653280699,0.9775641025641025,0.9872857667694624,0.918918918918919,0.11443173943173944,0.8855682605682607,0.08108108108108109,0.9188288288288289,0.918918918918919,0.9181246552675123,0.8204191653280699,0.9775641025641025,0.9811390770772922,0.9093877551020408,0.918918918918919,0.43,0.006,0.390625,0.015625,390.625,15.625,1607582.0,75009.0,12387.0,100.0,87.83783783783784,?,-1.0
horse-colic,1,2,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.J48 -- -U -M 2',-115879962237199703,2.01805281257E7,331.0,37.0,34.0,3.0,0.0,91.89189189189189,8.108108108108109,0.0,0.8121827411167514,0.19383025829037648,0.3014990402052723,41.94945744591124,63.09424397944536,34.65582837666615,18.39895890792058,16.25686946874557,0.9366440101801662,0.4972691596735292,0.43937485050663705,21.261814211346632,0.5746436273336928,2232.2670985713357,1.0,24.0,0.23076923076923078,3.0,0.7692307692307693,10.0,0.0,0.0,0.8888888888888888,1.0,0.9411764705882353,0.8268982305947231,0.8878205128205128,0.9093373781461008,0.918918918918919,0.1496881496881497,0.8503118503118504,0.08108108108108109,0.9279279279279278,0.918918918918919,0.9160157600055299,0.826898230594723,0.8878205128205128,0.9096552707476857,0.9053708439897699,0.918918918918919,0.263,0.003,0.265625,0.015625,265.625,15.625,1594324.0,75009.0,12387.0,94.5945945945946,83.78378378378379,?,-1.0
horse-colic,1,3,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.J48 -- -U -M 2',-115879962237199703,2.01805281257E7,331.0,37.0,30.0,7.0,0.0,81.08108108108108,18.91891891891892,0.0,0.5802269043760131,0.2598743007872736,0.3890674779856653,55.50201525394344,80.20912910961317,35.41414960056652,25.586138067645248,9.82801153292127,0.9571391783936897,0.6915172450714931,0.26562193332219647,16.507561857493467,0.4461503204727964,1737.296763108218,0.9130434782608695,21.0,0.35714285714285715,5.0,0.6428571428571429,9.0,0.08695652173913043,2.0,0.8076923076923077,0.9130434782608695,0.8571428571428572,0.5898506720476968,0.8695652173913043,0.9040021320885605,0.8108108108108109,0.25491018969279844,0.7450898103072017,0.1891891891891892,0.8116613116613117,0.8108108108108109,0.8052509652509653,0.5898506720476969,0.8695652173913043,0.8807325617941114,0.7885714285714287,0.8108108108108109,0.247,0.003,0.25,0.0,250.0,0.0,1494844.0,75009.0,12387.0,100.0,93.24324324324324,?,-1.0
horse-colic,1,4,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.J48 -- -U -M 2',-115879962237199703,2.01805281257E7,331.0,37.0,33.0,4.0,0.0,89.1891891891892,10.81081081081081,0.0,0.7701863354037267,0.20667038510351493,0.31592308693190213,44.139119689034615,65.12987361375421,35.41414960056652,18.1150600991093,17.299089501457217,0.9571391783936897,0.48959621889484595,0.4675429594988437,20.843426907342025,0.5633358623605953,2193.6139577008616,0.9130434782608695,21.0,0.14285714285714285,2.0,0.8571428571428571,12.0,0.08695652173913043,2.0,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.7701863354037267,0.9472049689440993,0.9671340178121036,0.8918918918918919,0.12170555648816518,0.8782944435118348,0.10810810810810811,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.7701863354037267,0.9472049689440993,0.9522109674973454,0.8850931677018633,0.8918918918918919,0.199,0.0,0.203125,0.0,203.125,0.0,1585612.0,75009.0,12387.0,97.29729729729729,82.43243243243244,?,-1.0
horse-colic,1,5,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.J48 -- -U -M 2',-115879962237199703,2.01805281257E7,331.0,37.0,30.0,7.0,0.0,81.08108108108108,18.91891891891892,0.0,0.5802269043760131,0.2504020452090535,0.3776545582136257,53.479001543088025,77.85627155325142,35.41414960056652,23.482901280775636,11.931248319790882,0.9571391783936897,0.6346730075885307,0.322466170805159,16.9246907107621,0.45742407326384055,1781.1964384714624,0.9130434782608695,21.0,0.35714285714285715,5.0,0.6428571428571429,9.0,0.08695652173913043,2.0,0.8076923076923077,0.9130434782608695,0.8571428571428572,0.5898506720476968,0.8913043478260869,0.943084781250138,0.8108108108108109,0.25491018969279844,0.7450898103072017,0.1891891891891892,0.8116613116613117,0.8108108108108109,0.8052509652509653,0.5898506720476969,0.891304347826087,0.892848085153577,0.7885714285714287,0.8108108108108109,0.232,0.0,0.21875,0.0,218.75,0.0,1629962.0,75009.0,12387.0,100.0,94.5945945945946,?,-1.0
horse-colic,1,6,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.J48 -- -U -M 2',-115879962237199703,2.01805281257E7,331.0,37.0,32.0,5.0,0.0,86.48648648648648,13.513513513513514,0.0,0.6911519198664442,0.20690952544033042,0.3136317169915211,44.19019349887868,64.65749080669605,35.41414960056652,17.59285444263372,17.8212951579328,0.9571391783936897,0.47548255250361404,0.48165662589007563,20.968942358945057,0.5667281718633799,2206.8235152159245,1.0,23.0,0.35714285714285715,5.0,0.6428571428571429,9.0,0.0,0.0,0.8214285714285714,1.0,0.9019607843137255,0.7266782124777073,0.9285714285714286,0.9492960786220602,0.8648648648648649,0.22200772200772204,0.777992277992278,0.13513513513513514,0.8889961389961389,0.8648648648648649,0.8568005345498951,0.7266782124777073,0.9285714285714287,0.9398956175847413,0.8422847399829497,0.8648648648648649,0.222,0.0,0.21875,0.0,218.75,0.0,1600868.0,75009.0,12387.0,100.0,87.83783783783784,?,-1.0
horse-colic,1,7,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.J48 -- -U -M 2',-115879962237199703,2.01805281257E7,331.0,37.0,33.0,4.0,0.0,89.1891891891892,10.81081081081081,0.0,0.7635782747603834,0.2050206179334229,0.28770410180076283,43.7867747193223,59.31232177558901,35.41414960056652,15.058328146773718,20.3558214537928,0.9571391783936897,0.4069818418046951,0.5501573365889946,21.229544642306795,0.5737714768191026,2234.2499460390472,0.9565217391304348,22.0,0.21428571428571427,3.0,0.7857142857142857,11.0,0.043478260869565216,1.0,0.88,0.9565217391304348,0.9166666666666666,0.7689698952449053,0.968944099378882,0.9823922454357237,0.8918918918918919,0.14965586704717138,0.8503441329528285,0.10810810810810811,0.8938738738738738,0.8918918918918919,0.8899861399861401,0.7689698952449053,0.968944099378882,0.9715504031293505,0.8814102564102564,0.8918918918918919,0.2,0.0,0.203125,0.0,203.125,0.0,1545442.0,75009.0,12387.0,100.0,91.89189189189189,?,-1.0
horse-colic,1,8,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.J48 -- -U -M 2',-115879962237199703,2.01805281257E7,331.0,37.0,31.0,6.0,0.0,83.78378378378379,16.216216216216218,0.0,0.6646525679758308,0.22477773790469344,0.3693376411169313,48.00635307200082,76.14167777466967,35.41414960056652,23.24120464747795,12.172944953088567,0.9571391783936897,0.6281406661480528,0.328998512245637,18.87501328993166,0.5101354943224773,1986.4532252131132,0.8260869565217391,19.0,0.14285714285714285,2.0,0.8571428571428571,12.0,0.17391304347826086,4.0,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.6688444170247311,0.8944099378881988,0.9246167964550002,0.8378378378378378,0.15460802417324157,0.8453919758267584,0.16216216216216217,0.8462033462033463,0.8378378378378378,0.8395577395577395,0.6688444170247312,0.8944099378881989,0.9072995249286787,0.8318181818181818,0.8378378378378378,0.185,0.0,0.1875,0.0,187.5,0.0,1540950.0,75009.0,12387.0,100.0,81.08108108108108,?,-1.0
horse-colic,1,9,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.J48 -- -U -M 2',-115879962237199703,2.01805281257E7,332.0,36.0,29.0,7.0,0.0,80.55555555555556,19.444444444444443,0.0,0.5401459854014599,0.24342262793223376,0.37741715654683894,52.43485629267608,78.55822636240605,33.98115558771569,24.225636213750686,9.755519373965004,0.943920988547658,0.6729343392708524,0.27098664927680566,16.841770622980956,0.467826961749471,1769.776307248307,0.9565217391304348,22.0,0.46153846153846156,6.0,0.5384615384615384,7.0,0.043478260869565216,1.0,0.7857142857142857,0.9565217391304348,0.8627450980392156,0.5718763176550473,0.8127090301003345,0.8777857517504487,0.8055555555555556,0.31057227796358233,0.6894277220364177,0.19444444444444445,0.8179563492063492,0.8055555555555556,0.7919389978213507,0.5718763176550473,0.8127090301003345,0.8506644396046041,0.7647058823529411,0.8055555555555556,0.2,0.0,0.203125,0.0,203.125,0.0,1575110.0,75222.0,12174.0,97.22222222222223,83.33333333333333,?,-1.0
horse-colic,1,10,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.J48 -- -U -M 2',-115879962237199703,2.01805281257E7,332.0,36.0,29.0,7.0,0.0,80.55555555555556,19.444444444444443,0.0,0.5714285714285715,0.22367045175496866,0.3588771817952398,48.18010591009931,74.69918734410783,33.98115558771569,20.389989892650632,13.591165695065058,0.943920988547658,0.5663886081291842,0.3775323804184738,17.907844985368044,0.49744013848244567,1881.8021262998416,0.8695652173913043,20.0,0.3076923076923077,4.0,0.6923076923076923,9.0,0.13043478260869565,3.0,0.8333333333333334,0.8695652173913043,0.851063829787234,0.5725025740766715,0.9096989966555183,0.9528022653486106,0.8055555555555556,0.24368264585655894,0.7563173541434411,0.19444444444444445,0.8032407407407408,0.8055555555555556,0.8037352245862883,0.5725025740766715,0.9096989966555183,0.917209310671891,0.785531914893617,0.8055555555555556,0.205,0.002,0.1875,0.015625,187.5,15.625,1512376.0,75222.0,12174.0,100.0,86.11111111111111,?,-1.0
